,Field1,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
0,61583.0,149.375,-37.0,61584.0,528.0,107.0,2.250000000899263,0.312500000212324,Cell 71,NSW1
1,62158.0,148.75,-36.5,62159.0,527.0,108.0,2.249999999100737,0.312499999762693,Cell 86,NSW1
2,62159.0,149.375,-36.5,62160.0,528.0,108.0,2.250000000899263,0.312500000212324,Cell 87,NSW1
3,62160.0,150.0,-36.5,62161.0,529.0,108.0,2.249999999100737,0.312499999762693,Cell 88,NSW1
4,62730.0,146.25,-36.0,62731.0,523.0,109.0,2.25000000089949,0.312500000212381,Cell 101,NSW1
5,62731.0,146.875,-36.0,62732.0,524.0,109.0,2.24999999910051,0.312499999762636,Cell 102,NSW1
6,62733.0,148.125,-36.0,62734.0,526.0,109.0,2.250000000899263,0.312500000212324,Cell 104,NSW1
7,62734.0,148.75,-36.0,62735.0,527.0,109.0,2.249999999100737,0.312499999762693,Cell 105,NSW1
8,62735.0,149.375,-36.0,62736.0,528.0,109.0,2.250000000899263,0.312500000212324,Cell 106,NSW1
9,62736.0,150.0,-36.0,62737.0,529.0,109.0,2.249999999100737,0.312499999762693,Cell 107,NSW1
10,63303.0,144.375,-35.5,63304.0,520.0,110.0,2.250000000899377,0.312500000324768,Cell 117,NSW1
11,63304.0,145.0,-35.5,63305.0,521.0,110.0,2.250000002697902,0.312500000774399,Cell 118,NSW1
12,63305.0,145.625,-35.5,63306.0,522.0,110.0,2.250000000899149,0.312500000324711,Cell 119,NSW1
13,63306.0,146.25,-35.5,63307.0,523.0,110.0,2.25000000269813,0.312500000774456,Cell 120,NSW1
14,63307.0,146.875,-35.5,63308.0,524.0,110.0,2.250000000899149,0.312500000324711,Cell 121,NSW1
15,63308.0,147.5,-35.5,63309.0,525.0,110.0,2.250000000899377,0.312500000324768,Cell 122,NSW1
16,63309.0,148.125,-35.5,63310.0,526.0,110.0,2.250000002697902,0.312500000774399,Cell 123,NSW1
17,63310.0,148.75,-35.5,63311.0,527.0,110.0,2.250000000899377,0.312500000324768,Cell 124,NSW1
18,63311.0,149.375,-35.5,63312.0,528.0,110.0,2.250000002697902,0.312500000774399,Cell 125,NSW1
19,63312.0,150.0,-35.5,63313.0,529.0,110.0,2.250000000899377,0.312500000324768,Cell 126,NSW1
20,63878.0,143.75,-35.0,63879.0,519.0,111.0,2.249999999100737,0.312499999762693,Cell 138,NSW1
21,63879.0,144.375,-35.0,63880.0,520.0,111.0,2.249999999100737,0.312499999762693,Cell 139,NSW1
22,63880.0,145.0,-35.0,63881.0,521.0,111.0,2.250000000899263,0.312500000212324,Cell 140,NSW1
23,63881.0,145.625,-35.0,63882.0,522.0,111.0,2.24999999910051,0.312499999762636,Cell 141,NSW1
24,63882.0,146.25,-35.0,63883.0,523.0,111.0,2.25000000089949,0.312500000212381,Cell 142,NSW1
25,63883.0,146.875,-35.0,63884.0,524.0,111.0,2.24999999910051,0.312499999762636,Cell 143,NSW1
26,63884.0,147.5,-35.0,63885.0,525.0,111.0,2.249999999100737,0.312499999762693,Cell 144,NSW1
27,63885.0,148.125,-35.0,63886.0,526.0,111.0,2.250000000899263,0.312500000212324,Cell 145,NSW1
28,63886.0,148.75,-35.0,63887.0,527.0,111.0,2.249999999100737,0.312499999762693,Cell 146,NSW1
29,63887.0,149.375,-35.0,63888.0,528.0,111.0,2.250000000899263,0.312500000212324,Cell 147,NSW1
30,63888.0,150.0,-35.0,63889.0,529.0,111.0,2.249999999100737,0.312499999762693,Cell 148,NSW1
31,63889.0,150.625,-35.0,63890.0,530.0,111.0,2.24999999910051,0.312499999762636,Cell 149,NSW1
32,64452.0,142.5,-34.5,64453.0,517.0,112.0,2.249999999100851,0.312499999762728,Cell 163,NSW1
33,64453.0,143.125,-34.5,64454.0,518.0,112.0,2.250000000899377,0.31250000021236,Cell 164,NSW1
34,64454.0,143.75,-34.5,64455.0,519.0,112.0,2.249999999100851,0.312499999762728,Cell 165,NSW1
35,64456.0,145.0,-34.5,64457.0,521.0,112.0,2.250000000899377,0.31250000021236,Cell 167,NSW1
36,64457.0,145.625,-34.5,64458.0,522.0,112.0,2.249999999100623,0.312499999762672,Cell 168,NSW1
37,64458.0,146.25,-34.5,64459.0,523.0,112.0,2.250000000899604,0.312500000212417,Cell 169,NSW1
38,64460.0,147.5,-34.5,64461.0,525.0,112.0,2.249999999100851,0.312499999762728,Cell 171,NSW1
