Unnamed: 0,country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
0,Australia,MERRA-2,Point 5,9,-28.0,150.625,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
1,Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2,2023,1,1,0,0,13,-163,48.4,9.3,0.0,0.0,0,0.0,0,1001.6,59.5,10.64,90.0,,
3,2023,1,1,1,0,13.1,-149,69.2,9.6,0.0,0.0,0,0.0,0,1001.2,68.1,10.03,90.0,,
4,2023,1,1,2,0,13.2,-136,80.9,10,0.0,0.0,0,0.0,0,1000.7,245.4,9.04,90.0,,
5,2023,1,1,3,0,13.4,-125,79.4,10.5,0.0,0.0,0,0.0,0,1000.8,215.1,8.08,90.0,,
6,2023,1,1,4,0,13.6,-116,86.8,11.1,0.0,0.0,0,0.0,0,1001.2,191,7.29,90.0,,
7,2023,1,1,5,0,13.8,-107,88.2,11.8,23.05,177.39,0,36.07260084119214,0,1001.7,179.3,7.29,85.79,,
8,2023,1,1,6,0,14.2,-98,82.3,12.5,57.07,620.69,0,232.73216926741787,0,1002.3,159.8,8.32,73.56,,
9,2023,1,1,7,0,14.8,-88,90.4,13.2,73.58,811.24,0,469.8455548718834,0,1003,138.1,7.26,60.76,,
10,2023,1,1,8,0,15.4,-76,88.5,13.9,88.05,891.4,0,687.858274598939,0,1003.7,28.5,5.46,47.71,,
11,2023,1,1,9,0,15.9,-60,80.8,13.5,89.08,939.1,0,862.7382891352995,0,1004,263.1,3.9,34.53,,
12,2023,1,1,10,0,16.4,-33,59.9,12.3,120.27,934.2,7,990.0028372610963,0,1004.1,258.3,3.35,21.41,,
13,2023,1,1,11,0,16.9,6,25.9,10.9,122.63,928.81,353,1039.440142489498,0,1004.2,235.9,3.62,9.22,,
14,2023,1,1,12,0,17.1,42,5.9,9.7,361.66,573.75,734,928.6560338549598,0,1004.4,243.1,4.1,8.8,,
15,2023,1,1,13,0,17.2,65,7.9,8.6,120.96,818.04,628,885.3293231210912,0,1004.7,234.4,4.59,20.87,,
16,2023,1,1,14,0,17.2,80,4.1,7.6,281.02,503.73,606,698.7293966299212,0,1005,232.8,5.18,33.98,,
17,2023,1,1,15,0,16.9,91,0,7,198.7,623.83,544,622.7954737712682,0,1005.3,227,5.7,47.17,,
