#Name,Long,Lat,Start year,End year
Cell 71,149.375,-37,2022,2023
Cell 86,148.75,-36.5,2022,2023
Cell 87,149.375,-36.5,2022,2023
Cell 88,150,-36.5,2022,2023
Cell 101,146.25,-36,2022,2023
Cell 102,146.875,-36,2022,2023
Cell 104,148.125,-36,2022,2023
Cell 105,148.75,-36,2022,2023
Cell 106,149.375,-36,2022,2023
Cell 107,150,-36,2022,2023
Cell 117,144.375,-35.5,2022,2023
Cell 118,145,-35.5,2022,2023
Cell 119,145.625,-35.5,2022,2023
Cell 120,146.25,-35.5,2022,2023
Cell 121,146.875,-35.5,2022,2023
Cell 122,147.5,-35.5,2022,2023
Cell 123,148.125,-35.5,2022,2023
Cell 124,148.75,-35.5,2022,2023
Cell 125,149.375,-35.5,2022,2023
Cell 126,150,-35.5,2022,2023
Cell 138,143.75,-35,2022,2023
Cell 139,144.375,-35,2022,2023
Cell 140,145,-35,2022,2023
Cell 141,145.625,-35,2022,2023
Cell 142,146.25,-35,2022,2023
Cell 143,146.875,-35,2022,2023
Cell 144,147.5,-35,2022,2023
Cell 145,148.125,-35,2022,2023
Cell 146,148.75,-35,2022,2023
Cell 147,149.375,-35,2022,2023
Cell 148,150,-35,2022,2023
Cell 149,150.625,-35,2022,2023
Cell 163,142.5,-34.5,2022,2023
Cell 164,143.125,-34.5,2022,2023
Cell 165,143.75,-34.5,2022,2023
Cell 167,145,-34.5,2022,2023
Cell 168,145.625,-34.5,2022,2023
Cell 169,146.25,-34.5,2022,2023
Cell 171,147.5,-34.5,2022,2023
Cell 172,148.125,-34.5,2022,2023
Cell 173,148.75,-34.5,2022,2023
Cell 174,149.375,-34.5,2022,2023
Cell 175,150,-34.5,2022,2023
Cell 176,150.625,-34.5,2022,2023
Cell 193,141.875,-34,2022,2023
Cell 194,142.5,-34,2022,2023
Cell 199,145.625,-34,2022,2023
Cell 204,148.75,-34,2022,2023
Cell 206,150,-34,2022,2023
Cell 207,150.625,-34,2022,2023
Cell 232,141.875,-33.5,2022,2023
Cell 238,145.625,-33.5,2022,2023
Cell 242,148.125,-33.5,2022,2023
Cell 243,148.75,-33.5,2022,2023
Cell 244,149.375,-33.5,2022,2023
Cell 245,150,-33.5,2022,2023
Cell 246,150.625,-33.5,2022,2023
Cell 247,151.25,-33.5,2022,2023
Cell 272,141.25,-33,2022,2023
Cell 273,141.875,-33,2022,2023
Cell 283,148.125,-33,2022,2023
Cell 284,148.75,-33,2022,2023
Cell 285,149.375,-33,2022,2023
Cell 286,150,-33,2022,2023
Cell 287,150.625,-33,2022,2023
Cell 288,151.25,-33,2022,2023
Cell 315,141.25,-32.5,2022,2023
Cell 326,148.125,-32.5,2022,2023
Cell 327,148.75,-32.5,2022,2023
Cell 328,149.375,-32.5,2022,2023
Cell 329,150,-32.5,2022,2023
Cell 330,150.625,-32.5,2022,2023
Cell 331,151.25,-32.5,2022,2023
Cell 332,151.875,-32.5,2022,2023
Cell 366,141.25,-32,2022,2023
Cell 376,147.5,-32,2022,2023
Cell 377,148.125,-32,2022,2023
Cell 378,148.75,-32,2022,2023
Cell 381,150.625,-32,2022,2023
Cell 382,151.25,-32,2022,2023
Cell 383,151.875,-32,2022,2023
Cell 384,152.5,-32,2022,2023
Cell 432,145.625,-31.5,2022,2023
Cell 433,146.25,-31.5,2022,2023
Cell 434,146.875,-31.5,2022,2023
