lon,lat,Location,State,Start year,End year
150,-28.5,Point 1,QLD,2024,2024
150.625,-28.5,Point 2,QLD,2024,2024
151.25,-28.5,Point 3,QLD,2024,2024
151.875,-28.5,Point 4,QLD,2024,2024
150.625,-28,Point 5,QLD,2024,2024
151.25,-28,Point 6,QLD,2024,2024
151.875,-28,Point 7,QLD,2024,2024
153.125,-28,Point 8,QLD,2024,2024
150.625,-27.5,Point 9,QLD,2024,2024
151.25,-27.5,Point 10,QLD,2024,2024
151.875,-27.5,Point 11,QLD,2024,2024
152.5,-27.5,Point 12,QLD,2024,2024
153.125,-27.5,Point 13,QLD,2024,2024
150,-27,Point 14,QLD,2024,2024
150.625,-27,Point 15,QLD,2024,2024
151.25,-27,Point 16,QLD,2024,2024
151.875,-27,Point 17,QLD,2024,2024
152.5,-27,Point 18,QLD,2024,2024
153.125,-27,Point 19,QLD,2024,2024
148.75,-26.5,Point 20,QLD,2024,2024
149.375,-26.5,Point 21,QLD,2024,2024
150,-26.5,Point 22,QLD,2024,2024
150.625,-26.5,Point 23,QLD,2024,2024
151.25,-26.5,Point 24,QLD,2024,2024
151.875,-26.5,Point 25,QLD,2024,2024
152.5,-26.5,Point 26,QLD,2024,2024
149.375,-26,Point 27,QLD,2024,2024
150,-26,Point 28,QLD,2024,2024
151.25,-26,Point 29,QLD,2024,2024
152.5,-26,Point 30,QLD,2024,2024
148.75,-25.5,Point 31,QLD,2024,2024
149.375,-25.5,Point 32,QLD,2024,2024
150.625,-25.5,Point 33,QLD,2024,2024
151.25,-25.5,Point 34,QLD,2024,2024
151.875,-25.5,Point 35,QLD,2024,2024
152.5,-25.5,Point 36,QLD,2024,2024
150.625,-25,Point 37,QLD,2024,2024
151.875,-25,Point 38,QLD,2024,2024
152.5,-25,Point 39,QLD,2024,2024
148.125,-24.5,Point 40,QLD,2024,2024
148.75,-24.5,Point 41,QLD,2024,2024
150,-24.5,Point 42,QLD,2024,2024
150.625,-24.5,Point 43,QLD,2024,2024
151.25,-24.5,Point 44,QLD,2024,2024
151.875,-24.5,Point 45,QLD,2024,2024
148.75,-24,Point 46,QLD,2024,2024
149.375,-24,Point 47,QLD,2024,2024
150,-24,Point 48,QLD,2024,2024
150.625,-24,Point 49,QLD,2024,2024
151.25,-24,Point 50,QLD,2024,2024
145,-23.5,Point 51,QLD,2024,2024
145.625,-23.5,Point 52,QLD,2024,2024
146.25,-23.5,Point 53,QLD,2024,2024
146.875,-23.5,Point 54,QLD,2024,2024
148.75,-23.5,Point 55,QLD,2024,2024
149.375,-23.5,Point 56,QLD,2024,2024
150,-23.5,Point 57,QLD,2024,2024
150.625,-23.5,Point 58,QLD,2024,2024
146.875,-23,Point 59,QLD,2024,2024
147.5,-23,Point 60,QLD,2024,2024
