electricity,irradiance_direct,irradiance_diffuse,temperature
0.523,0.215,0.456,30.799
0.55,0.19,0.524,31.747
0.509,0.115,0.54,32.209
0.418,0.057,0.47400000000000003,32.163
0.315,0.029,0.365,31.694
0.20500000000000002,0.014,0.244,30.864
0.116,0.008,0.14400000000000002,29.861
0.043000000000000003,0.004,0.062,28.76
0.008,0.002,0.019,27.703
0.0,0.0,0.001,26.777
0.0,0.0,0.0,26.074
0.0,0.0,0.0,25.57
0.0,0.0,0.0,25.198
0.0,0.0,0.0,24.952
0.0,0.0,0.0,24.812
0.0,0.0,0.0,24.739
0.0,0.0,0.0,24.66
0.0,0.0,0.0,24.509
0.0,0.0,0.0,24.301
0.0,0.0,0.0,24.037
0.007,0.005,0.013000000000000001,24.013
0.045,0.007,0.06,24.64
0.09,0.008,0.113,25.366
0.139,0.008,0.168,26.095
0.17200000000000001,0.006,0.209,26.807
0.182,0.005,0.223,27.212
0.178,0.004,0.219,27.456
0.158,0.003,0.196,27.506
0.14,0.003,0.17500000000000002,27.389
0.116,0.003,0.147,27.195
0.078,0.003,0.10300000000000001,26.838
0.041,0.003,0.061,26.339
0.013000000000000001,0.002,0.024,25.648
0.0,0.0,0.001,24.823
0.0,0.0,0.0,24.362
0.0,0.0,0.0,24.061
0.0,0.0,0.0,23.829
0.0,0.0,0.0,23.645
0.0,0.0,0.0,23.475
0.0,0.0,0.0,23.345
0.0,0.0,0.0,23.258
0.0,0.0,0.0,23.227
0.0,0.0,0.0,23.253
0.0,0.0,0.0,23.286
0.002,0.002,0.008,23.44
0.025,0.003,0.041,23.994
0.081,0.005,0.10400000000000001,25.138
0.17500000000000002,0.011,0.20700000000000002,26.798000000000002
0.303,0.034,0.339,28.466
0.429,0.073,0.465,29.892
0.486,0.1,0.519,30.8
0.48,0.101,0.509,31.059
0.341,0.039,0.385,30.295
0.225,0.019,0.26,29.204
0.14,0.013000000000000001,0.166,28.105
0.067,0.008,0.08600000000000001,27.159
0.014,0.004,0.025,26.264
0.0,0.0,0.001,25.525
0.0,0.0,0.0,25.182
0.0,0.0,0.0,24.974
0.0,0.0,0.0,24.811
0.0,0.0,0.0,24.729
0.0,0.0,0.0,24.727
0.0,0.0,0.0,24.742
0.0,0.0,0.0,24.703
0.0,0.0,0.0,24.569
0.0,0.0,0.0,24.349
0.0,0.0,0.0,24.088
0.022,0.02,0.019,24.05
0.11800000000000001,0.046,0.105,24.932
0.276,0.107,0.23,26.71
0.461,0.226,0.35100000000000003,28.807
0.653,0.529,0.335,30.624
0.72,0.653,0.328,31.924
0.733,0.676,0.333,32.736
0.721,0.655,0.336,33.312
0.6890000000000001,0.614,0.325,33.6
0.584,0.447,0.324,33.335
0.381,0.21,0.271,32.367
0.253,0.15,0.166,31.255
0.109,0.081,0.063,29.814
0.0,0.003,0.002,28.126
0.0,0.0,0.0,27.144
0.0,0.0,0.0,26.332
0.0,0.0,0.0,25.73
0.0,0.0,0.0,25.254
0.0,0.0,0.0,24.974
0.0,0.0,0.0,24.883
0.0,0.0,0.0,24.861
0.0,0.0,0.0,24.821
0.0,0.0,0.0,24.714
0.0,0.0,0.0,24.518
0.015,0.015,0.015,24.484
0.10200000000000001,0.042,0.092,25.306
0.276,0.125,0.213,26.908
0.46,0.256,0.319,28.636
0.607,0.399,0.392,30.199
0.67,0.47600000000000003,0.42,31.459
0.6960000000000001,0.521,0.424,32.401
0.613,0.324,0.488,32.543
0.454,0.126,0.452,31.869
0.262,0.035,0.292,30.591
0.156,0.019,0.18,29.545
0.078,0.012,0.095,28.715
0.023,0.008,0.033,27.888
0.0,0.001,0.001,26.968
0.0,0.0,0.0,26.372
0.0,0.0,0.0,25.886
0.0,0.0,0.0,25.533
0.0,0.0,0.0,25.294
0.0,0.0,0.0,25.102
0.0,0.0,0.0,24.887
0.0,0.0,0.0,24.674
0.0,0.0,0.0,24.39
0.0,0.0,0.0,24.048
0.0,0.0,0.0,23.82
0.026000000000000002,0.025,0.019,23.87
0.137,0.065,0.108,24.897
0.367,0.217,0.232,26.704
0.555,0.395,0.314,28.95
0.736,0.76,0.245,31.447
0.758,0.802,0.254,33.316
0.757,0.798,0.265,34.501
0.706,0.657,0.321,35.08
0.585,0.39,0.39,35.033
0.627,0.5720000000000001,0.276,35.226
0.386,0.231,0.262,34.344
0.23800000000000002,0.14200000000000002,0.16,33.385
0.077,0.052000000000000005,0.055,31.809
0.0,0.001,0.001,29.853
0.0,0.0,0.0,28.975
0.0,0.0,0.0,28.219
0.0,0.0,0.0,27.358
0.0,0.0,0.0,26.548000000000002
0.0,0.0,0.0,25.759
