electricity,wind_speed
0.092,4.909
0.117,5.285
0.139,5.595
0.16,5.856
0.176,6.033
0.183,6.123
0.194,6.232
0.215,6.456
0.23700000000000002,6.681
0.223,6.543
0.192,6.209
0.166,5.923
0.145,5.67
0.131,5.483
0.113,5.24
0.069,4.517
0.1,5.037
0.105,5.116
0.10400000000000001,5.101
0.09,4.878
0.07200000000000001,4.559
0.159,5.845
0.28600000000000003,7.13
0.298,7.232
0.244,6.734
0.189,6.181
0.13,5.471
0.123,5.373
0.176,6.041
0.254,6.828
0.321,7.432
0.318,7.409
0.242,6.7219999999999995
0.20500000000000002,6.359
0.342,7.606
0.403,8.095
0.489,8.761
0.581,9.495
0.661,10.168
0.718,10.703
0.738,10.894
0.711,10.639
0.594,9.599
0.521,9.011
0.434,8.33
0.534,9.121
0.614,9.769
0.648,10.058
0.639,9.983
0.636,9.94
0.623,9.833
0.596,9.621
0.547,9.228
0.484,8.73
0.424,8.257
0.378,7.896
0.305,7.295
0.221,6.515
0.17300000000000001,6.003
0.18,6.082
0.268,6.969
0.281,7.077
0.278,7.06
0.251,6.808
0.261,6.907
0.328,7.485
0.315,7.377
0.234,6.649
0.149,5.71
0.26,6.9
0.274,7.02
0.23800000000000002,6.686
0.212,6.42
0.199,6.297
0.203,6.337
0.216,6.464
0.222,6.526
0.219,6.505
0.216,6.462
0.215,6.453
0.188,6.18
0.166,5.929
0.146,5.682
0.135,5.533
0.105,5.116
0.07100000000000001,4.546
0.056,4.241
0.058,4.297
0.064,4.417
0.074,4.609
0.08700000000000001,4.828
0.065,4.429
0.035,3.751
0.066,4.453
0.10200000000000001,5.058
0.095,4.97
0.076,4.638
0.059000000000000004,4.317
0.049,4.104
0.04,3.882
0.036000000000000004,3.786
0.044,3.988
0.052000000000000005,4.153
0.049,4.099
0.034,3.731
0.029,3.567
0.026000000000000002,3.464
0.016,3.114
0.01,2.846
0.021,3.326
0.061,4.343
0.089,4.865
0.107,5.151
0.114,5.251
0.099,5.018
0.081,4.729
0.078,4.661
0.202,6.324
0.375,7.872
0.364,7.793
0.321,7.434
0.291,7.168
0.254,6.836
0.19,6.196
0.165,5.918
0.261,6.9030000000000005
0.36,7.753
0.232,6.625
0.108,5.156
0.095,4.967
0.10400000000000001,5.1
0.114,5.258
0.083,4.764
