,Long,Lat,Location,State,Start year,End year
0,149.375,-37,Cell 71,NSW1,2023,2023
1,148.75,-36.5,Cell 86,NSW1,2023,2023
2,149.375,-36.5,Cell 87,NSW1,2023,2023
3,150,-36.5,Cell 88,NSW1,2023,2023
4,146.25,-36,Cell 101,NSW1,2023,2023
5,146.875,-36,Cell 102,NSW1,2023,2023
6,148.125,-36,Cell 104,NSW1,2023,2023
7,148.75,-36,Cell 105,NSW1,2023,2023
8,149.375,-36,Cell 106,NSW1,2023,2023
9,150,-36,Cell 107,NSW1,2023,2023
10,144.375,-35.5,Cell 117,NSW1,2023,2023
11,145,-35.5,Cell 118,NSW1,2023,2023
12,145.625,-35.5,Cell 119,NSW1,2023,2023
13,146.25,-35.5,Cell 120,NSW1,2023,2023
14,146.875,-35.5,Cell 121,NSW1,2023,2023
15,147.5,-35.5,Cell 122,NSW1,2023,2023
16,148.125,-35.5,Cell 123,NSW1,2023,2023
17,148.75,-35.5,Cell 124,NSW1,2023,2023
18,149.375,-35.5,Cell 125,NSW1,2023,2023
19,150,-35.5,Cell 126,NSW1,2023,2023
20,143.75,-35,Cell 138,NSW1,2023,2023
21,144.375,-35,Cell 139,NSW1,2023,2023
22,145,-35,Cell 140,NSW1,2023,2023
23,145.625,-35,Cell 141,NSW1,2023,2023
24,146.25,-35,Cell 142,NSW1,2023,2023
25,146.875,-35,Cell 143,NSW1,2023,2023
26,147.5,-35,Cell 144,NSW1,2023,2023
27,148.125,-35,Cell 145,NSW1,2023,2023
28,148.75,-35,Cell 146,NSW1,2023,2023
29,149.375,-35,Cell 147,NSW1,2023,2023
30,150,-35,Cell 148,NSW1,2023,2023
31,150.625,-35,Cell 149,NSW1,2023,2023
32,142.5,-34.5,Cell 163,NSW1,2023,2023
33,143.125,-34.5,Cell 164,NSW1,2023,2023
34,143.75,-34.5,Cell 165,NSW1,2023,2023
35,145,-34.5,Cell 167,NSW1,2023,2023
36,145.625,-34.5,Cell 168,NSW1,2023,2023
37,146.25,-34.5,Cell 169,NSW1,2023,2023
38,147.5,-34.5,Cell 171,NSW1,2023,2023
39,148.125,-34.5,Cell 172,NSW1,2023,2023
40,148.75,-34.5,Cell 173,NSW1,2023,2023
41,149.375,-34.5,Cell 174,NSW1,2023,2023
42,150,-34.5,Cell 175,NSW1,2023,2023
43,150.625,-34.5,Cell 176,NSW1,2023,2023
44,141.875,-34,Cell 193,NSW1,2023,2023
45,142.5,-34,Cell 194,NSW1,2023,2023
46,145.625,-34,Cell 199,NSW1,2023,2023
47,148.75,-34,Cell 204,NSW1,2023,2023
48,150,-34,Cell 206,NSW1,2023,2023
49,150.625,-34,Cell 207,NSW1,2023,2023
50,141.875,-33.5,Cell 232,NSW1,2023,2023
51,145.625,-33.5,Cell 238,NSW1,2023,2023
52,148.125,-33.5,Cell 242,NSW1,2023,2023
53,148.75,-33.5,Cell 243,NSW1,2023,2023
54,149.375,-33.5,Cell 244,NSW1,2023,2023
55,150,-33.5,Cell 245,NSW1,2023,2023
56,150.625,-33.5,Cell 246,NSW1,2023,2023
57,151.25,-33.5,Cell 247,NSW1,2023,2023
58,141.25,-33,Cell 272,NSW1,2023,2023
59,141.875,-33,Cell 273,NSW1,2023,2023
60,148.125,-33,Cell 283,NSW1,2023,2023
61,148.75,-33,Cell 284,NSW1,2023,2023
62,149.375,-33,Cell 285,NSW1,2023,2023
63,150,-33,Cell 286,NSW1,2023,2023
64,150.625,-33,Cell 287,NSW1,2023,2023
65,151.25,-33,Cell 288,NSW1,2023,2023
66,141.25,-32.5,Cell 315,NSW1,2023,2023
67,148.125,-32.5,Cell 326,NSW1,2023,2023
68,148.75,-32.5,Cell 327,NSW1,2023,2023
69,149.375,-32.5,Cell 328,NSW1,2023,2023
70,150,-32.5,Cell 329,NSW1,2023,2023
71,150.625,-32.5,Cell 330,NSW1,2023,2023
72,151.25,-32.5,Cell 331,NSW1,2023,2023
73,151.875,-32.5,Cell 332,NSW1,2023,2023
74,141.25,-32,Cell 366,NSW1,2023,2023
75,147.5,-32,Cell 376,NSW1,2023,2023
76,148.125,-32,Cell 377,NSW1,2023,2023
77,148.75,-32,Cell 378,NSW1,2023,2023
78,150.625,-32,Cell 381,NSW1,2023,2023
79,151.25,-32,Cell 382,NSW1,2023,2023
80,151.875,-32,Cell 383,NSW1,2023,2023
81,152.5,-32,Cell 384,NSW1,2023,2023
82,145.625,-31.5,Cell 432,NSW1,2023,2023
83,146.25,-31.5,Cell 433,NSW1,2023,2023
84,146.875,-31.5,Cell 434,NSW1,2023,2023
85,147.5,-31.5,Cell 435,NSW1,2023,2023
86,150.625,-31.5,Cell 440,NSW1,2023,2023
87,151.25,-31.5,Cell 441,NSW1,2023,2023
88,152.5,-31.5,Cell 443,NSW1,2023,2023
89,150,-31,Cell 499,NSW1,2023,2023
90,150.625,-31,Cell 500,NSW1,2023,2023
91,151.25,-31,Cell 501,NSW1,2023,2023
92,152.5,-31,Cell 503,NSW1,2023,2023
93,150,-30.5,Cell 559,NSW1,2023,2023
94,150.625,-30.5,Cell 560,NSW1,2023,2023
95,151.25,-30.5,Cell 561,NSW1,2023,2023
96,151.875,-30.5,Cell 562,NSW1,2023,2023
97,152.5,-30.5,Cell 563,NSW1,2023,2023
98,149.375,-30,Cell 619,NSW1,2023,2023
99,150,-30,Cell 620,NSW1,2023,2023
100,150.625,-30,Cell 621,NSW1,2023,2023
101,151.25,-30,Cell 622,NSW1,2023,2023
102,151.875,-30,Cell 623,NSW1,2023,2023
103,152.5,-30,Cell 624,NSW1,2023,2023
104,153.125,-30,Cell 625,NSW1,2023,2023
105,149.375,-29.5,Cell 681,NSW1,2023,2023
106,150,-29.5,Cell 682,NSW1,2023,2023
107,150.625,-29.5,Cell 683,NSW1,2023,2023
108,151.25,-29.5,Cell 684,NSW1,2023,2023
109,151.875,-29.5,Cell 685,NSW1,2023,2023
110,153.125,-29.5,Cell 687,NSW1,2023,2023
111,151.25,-29,Cell 746,NSW1,2023,2023
112,151.875,-29,Cell 747,NSW1,2023,2023
113,152.5,-29,Cell 748,NSW1,2023,2023
114,153.125,-29,Cell 749,NSW1,2023,2023
115,153.125,-28.5,Cell 811,NSW1,2023,2023
116,150,-28.5,Cell 806,QLD1,2023,2023
117,150.625,-28.5,Cell 807,QLD1,2023,2023
118,151.875,-28.5,Cell 809,QLD1,2023,2023
119,150.625,-28,Cell 870,QLD1,2023,2023
120,151.25,-28,Cell 871,QLD1,2023,2023
121,151.875,-28,Cell 872,QLD1,2023,2023
122,153.125,-28,Cell 874,QLD1,2023,2023
123,150.625,-27.5,Cell 933,QLD1,2023,2023
124,151.25,-27.5,Cell 934,QLD1,2023,2023
125,151.875,-27.5,Cell 935,QLD1,2023,2023
126,152.5,-27.5,Cell 936,QLD1,2023,2023
127,153.125,-27.5,Cell 937,QLD1,2023,2023
128,150,-27,Cell 995,QLD1,2023,2023
129,150.625,-27,Cell 996,QLD1,2023,2023
130,151.25,-27,Cell 997,QLD1,2023,2023
131,151.875,-27,Cell 998,QLD1,2023,2023
132,152.5,-27,Cell 999,QLD1,2023,2023
133,153.125,-27,Cell 1000,QLD1,2023,2023
134,148.75,-26.5,Cell 1056,QLD1,2023,2023
135,149.375,-26.5,Cell 1057,QLD1,2023,2023
136,150,-26.5,Cell 1058,QLD1,2023,2023
137,150.625,-26.5,Cell 1059,QLD1,2023,2023
138,151.25,-26.5,Cell 1060,QLD1,2023,2023
139,151.875,-26.5,Cell 1061,QLD1,2023,2023
140,152.5,-26.5,Cell 1062,QLD1,2023,2023
141,149.375,-26,Cell 1120,QLD1,2023,2023
142,150,-26,Cell 1121,QLD1,2023,2023
143,151.25,-26,Cell 1123,QLD1,2023,2023
144,152.5,-26,Cell 1125,QLD1,2023,2023
145,148.75,-25.5,Cell 1182,QLD1,2023,2023
146,149.375,-25.5,Cell 1183,QLD1,2023,2023
147,150.625,-25.5,Cell 1185,QLD1,2023,2023
148,151.25,-25.5,Cell 1186,QLD1,2023,2023
149,151.875,-25.5,Cell 1187,QLD1,2023,2023
150,152.5,-25.5,Cell 1188,QLD1,2023,2023
151,150.625,-25,Cell 1249,QLD1,2023,2023
152,151.875,-25,Cell 1251,QLD1,2023,2023
153,152.5,-25,Cell 1252,QLD1,2023,2023
154,148.125,-24.5,Cell 1308,QLD1,2023,2023
155,148.75,-24.5,Cell 1309,QLD1,2023,2023
156,150,-24.5,Cell 1311,QLD1,2023,2023
157,150.625,-24.5,Cell 1312,QLD1,2023,2023
158,151.25,-24.5,Cell 1313,QLD1,2023,2023
159,151.875,-24.5,Cell 1314,QLD1,2023,2023
160,148.75,-24,Cell 1371,QLD1,2023,2023
161,149.375,-24,Cell 1372,QLD1,2023,2023
162,150,-24,Cell 1373,QLD1,2023,2023
163,150.625,-24,Cell 1374,QLD1,2023,2023
164,151.25,-24,Cell 1375,QLD1,2023,2023
165,145,-23.5,Cell 1425,QLD1,2023,2023
166,145.625,-23.5,Cell 1426,QLD1,2023,2023
167,146.25,-23.5,Cell 1427,QLD1,2023,2023
168,146.875,-23.5,Cell 1428,QLD1,2023,2023
169,148.75,-23.5,Cell 1431,QLD1,2023,2023
170,149.375,-23.5,Cell 1432,QLD1,2023,2023
171,150,-23.5,Cell 1433,QLD1,2023,2023
172,150.625,-23.5,Cell 1434,QLD1,2023,2023
173,146.875,-23,Cell 1487,QLD1,2023,2023
174,147.5,-23,Cell 1488,QLD1,2023,2023
175,148.125,-23,Cell 1489,QLD1,2023,2023
176,148.75,-23,Cell 1490,QLD1,2023,2023
177,149.375,-23,Cell 1491,QLD1,2023,2023
178,150,-23,Cell 1492,QLD1,2023,2023
179,147.5,-22.5,Cell 1548,QLD1,2023,2023
180,148.125,-22.5,Cell 1549,QLD1,2023,2023
181,148.75,-22.5,Cell 1550,QLD1,2023,2023
182,149.375,-22.5,Cell 1551,QLD1,2023,2023
183,148.125,-22,Cell 1607,QLD1,2023,2023
184,148.75,-22,Cell 1608,QLD1,2023,2023
185,149.375,-22,Cell 1609,QLD1,2023,2023
186,148.125,-21.5,Cell 1662,QLD1,2023,2023
187,148.75,-21.5,Cell 1663,QLD1,2023,2023
188,149.375,-21.5,Cell 1664,QLD1,2023,2023
189,139.375,-21,Cell 1702,QLD1,2023,2023
190,140,-21,Cell 1703,QLD1,2023,2023
191,144.375,-21,Cell 1710,QLD1,2023,2023
192,145,-21,Cell 1711,QLD1,2023,2023
193,147.5,-21,Cell 1715,QLD1,2023,2023
194,148.125,-21,Cell 1716,QLD1,2023,2023
195,148.75,-21,Cell 1717,QLD1,2023,2023
196,139.375,-20.5,Cell 1753,QLD1,2023,2023
197,140,-20.5,Cell 1754,QLD1,2023,2023
198,140.625,-20.5,Cell 1755,QLD1,2023,2023
199,145,-20.5,Cell 1762,QLD1,2023,2023
200,145.625,-20.5,Cell 1763,QLD1,2023,2023
201,147.5,-20.5,Cell 1766,QLD1,2023,2023
202,148.125,-20.5,Cell 1767,QLD1,2023,2023
203,139.375,-20,Cell 1800,QLD1,2023,2023
204,146.25,-20,Cell 1811,QLD1,2023,2023
205,146.875,-20,Cell 1812,QLD1,2023,2023
206,147.5,-20,Cell 1813,QLD1,2023,2023
207,148.125,-20,Cell 1814,QLD1,2023,2023
208,138.75,-19.5,Cell 1843,QLD1,2023,2023
209,139.375,-19.5,Cell 1844,QLD1,2023,2023
210,145.625,-19.5,Cell 1854,QLD1,2023,2023
211,146.25,-19.5,Cell 1855,QLD1,2023,2023
212,146.875,-19.5,Cell 1856,QLD1,2023,2023
213,138.75,-19,Cell 1885,QLD1,2023,2023
214,143.75,-19,Cell 1893,QLD1,2023,2023
215,144.375,-19,Cell 1894,QLD1,2023,2023
216,145,-19,Cell 1895,QLD1,2023,2023
217,145.625,-19,Cell 1896,QLD1,2023,2023
218,146.25,-19,Cell 1897,QLD1,2023,2023
219,138.75,-18.5,Cell 1925,QLD1,2023,2023
220,143.75,-18.5,Cell 1933,QLD1,2023,2023
221,145.625,-18.5,Cell 1936,QLD1,2023,2023
222,146.25,-18.5,Cell 1937,QLD1,2023,2023
223,145.625,-18,Cell 1975,QLD1,2023,2023
224,145.625,-17.5,Cell 2011,QLD1,2023,2023
225,145.625,-17,Cell 2045,QLD1,2023,2023
226,145,-16.5,Cell 2075,QLD1,2023,2023
227,145,-16,Cell 2101,QLD1,2023,2023
228,145,-15.5,Cell 2126,QLD1,2023,2023
229,140.625,-38,Cell 30,SA1,2023,2023
230,140.625,-37.5,Cell 41,SA1,2023,2023
231,140,-37,Cell 56,SA1,2023,2023
232,140.625,-37,Cell 57,SA1,2023,2023
233,140,-36.5,Cell 72,SA1,2023,2023
234,140.625,-36.5,Cell 73,SA1,2023,2023
235,140,-36,Cell 91,SA1,2023,2023
236,140.625,-36,Cell 92,SA1,2023,2023
237,138.75,-35.5,Cell 108,SA1,2023,2023
238,139.375,-35.5,Cell 109,SA1,2023,2023
239,140,-35.5,Cell 110,SA1,2023,2023
240,137.5,-35,Cell 129,SA1,2023,2023
241,138.75,-35,Cell 130,SA1,2023,2023
242,139.375,-35,Cell 131,SA1,2023,2023
243,135.625,-34.5,Cell 155,SA1,2023,2023
244,137.5,-34.5,Cell 156,SA1,2023,2023
245,138.75,-34.5,Cell 157,SA1,2023,2023
246,139.375,-34.5,Cell 158,SA1,2023,2023
247,140.625,-34.5,Cell 160,SA1,2023,2023
248,136.25,-34,Cell 186,SA1,2023,2023
249,138.125,-34,Cell 187,SA1,2023,2023
250,138.75,-34,Cell 188,SA1,2023,2023
251,139.375,-34,Cell 189,SA1,2023,2023
252,140,-34,Cell 190,SA1,2023,2023
253,140.625,-34,Cell 191,SA1,2023,2023
254,135.625,-33.5,Cell 223,SA1,2023,2023
255,136.25,-33.5,Cell 224,SA1,2023,2023
256,136.875,-33.5,Cell 225,SA1,2023,2023
257,138.125,-33.5,Cell 226,SA1,2023,2023
258,138.75,-33.5,Cell 227,SA1,2023,2023
259,135.625,-33,Cell 263,SA1,2023,2023
260,136.875,-33,Cell 265,SA1,2023,2023
261,137.5,-33,Cell 266,SA1,2023,2023
262,138.125,-33,Cell 267,SA1,2023,2023
263,138.75,-33,Cell 268,SA1,2023,2023
264,137.5,-32.5,Cell 309,SA1,2023,2023
265,138.125,-32.5,Cell 310,SA1,2023,2023
266,137.5,-32,Cell 360,SA1,2023,2023
267,138.125,-32,Cell 361,SA1,2023,2023
268,136.875,-31.5,Cell 418,SA1,2023,2023
269,137.5,-31.5,Cell 419,SA1,2023,2023
270,138.125,-31.5,Cell 420,SA1,2023,2023
271,136.875,-31,Cell 478,SA1,2023,2023
272,138.125,-31,Cell 480,SA1,2023,2023
273,136.25,-30.5,Cell 537,SA1,2023,2023
274,136.875,-30.5,Cell 538,SA1,2023,2023
275,138.125,-30.5,Cell 540,SA1,2023,2023
276,135.625,-30,Cell 597,SA1,2023,2023
277,136.25,-30,Cell 598,SA1,2023,2023
278,135.625,-29.5,Cell 659,SA1,2023,2023
279,146.25,-43,Cell 2,TAS1,2023,2023
280,146.875,-43,Cell 3,TAS1,2023,2023
281,147.5,-43,Cell 4,TAS1,2023,2023
282,146.25,-42.5,Cell 6,TAS1,2023,2023
283,146.875,-42.5,Cell 7,TAS1,2023,2023
284,147.5,-42.5,Cell 8,TAS1,2023,2023
285,145.625,-42,Cell 9,TAS1,2023,2023
286,146.25,-42,Cell 10,TAS1,2023,2023
287,146.875,-42,Cell 11,TAS1,2023,2023
288,147.5,-42,Cell 12,TAS1,2023,2023
289,145,-41.5,Cell 14,TAS1,2023,2023
290,145.625,-41.5,Cell 15,TAS1,2023,2023
291,146.25,-41.5,Cell 16,TAS1,2023,2023
292,146.875,-41.5,Cell 17,TAS1,2023,2023
293,147.5,-41.5,Cell 18,TAS1,2023,2023
294,148.125,-41.5,Cell 19,TAS1,2023,2023
295,145,-41,Cell 20,TAS1,2023,2023
296,145.625,-41,Cell 21,TAS1,2023,2023
297,147.5,-41,Cell 22,TAS1,2023,2023
298,148.125,-41,Cell 23,TAS1,2023,2023
299,143.125,-38.5,Cell 25,VIC1,2023,2023
300,143.75,-38.5,Cell 26,VIC1,2023,2023
301,146.25,-38.5,Cell 28,VIC1,2023,2023
302,146.875,-38.5,Cell 29,VIC1,2023,2023
303,141.875,-38,Cell 32,VIC1,2023,2023
304,142.5,-38,Cell 33,VIC1,2023,2023
305,143.125,-38,Cell 34,VIC1,2023,2023
306,143.75,-38,Cell 35,VIC1,2023,2023
307,144.375,-38,Cell 36,VIC1,2023,2023
308,145.625,-38,Cell 37,VIC1,2023,2023
309,146.25,-38,Cell 38,VIC1,2023,2023
310,146.875,-38,Cell 39,VIC1,2023,2023
311,147.5,-38,Cell 40,VIC1,2023,2023
312,142.5,-37.5,Cell 44,VIC1,2023,2023
313,143.125,-37.5,Cell 45,VIC1,2023,2023
314,143.75,-37.5,Cell 46,VIC1,2023,2023
315,145,-37.5,Cell 48,VIC1,2023,2023
316,145.625,-37.5,Cell 49,VIC1,2023,2023
317,142.5,-37,Cell 60,VIC1,2023,2023
318,143.125,-37,Cell 61,VIC1,2023,2023
319,143.75,-37,Cell 62,VIC1,2023,2023
320,144.375,-37,Cell 63,VIC1,2023,2023
321,145.625,-37,Cell 65,VIC1,2023,2023
322,146.25,-37,Cell 66,VIC1,2023,2023
323,146.875,-37,Cell 67,VIC1,2023,2023
324,147.5,-37,Cell 68,VIC1,2023,2023
325,142.5,-36.5,Cell 76,VIC1,2023,2023
326,144.375,-36.5,Cell 79,VIC1,2023,2023
327,145,-36.5,Cell 80,VIC1,2023,2023
328,145.625,-36.5,Cell 81,VIC1,2023,2023
329,146.25,-36.5,Cell 82,VIC1,2023,2023
330,146.875,-36.5,Cell 83,VIC1,2023,2023
331,147.5,-36.5,Cell 84,VIC1,2023,2023
332,148.125,-36.5,Cell 85,VIC1,2023,2023
333,143.75,-36,Cell 97,VIC1,2023,2023
334,144.375,-36,Cell 98,VIC1,2023,2023
335,145,-36,Cell 99,VIC1,2023,2023
336,145.625,-36,Cell 100,VIC1,2023,2023
337,143.125,-35.5,Cell 115,VIC1,2023,2023
338,143.75,-35.5,Cell 116,VIC1,2023,2023
339,142.5,-35,Cell 136,VIC1,2023,2023
340,143.125,-35,Cell 137,VIC1,2023,2023
