PV_capex,Wind_capex,EL_CAPEX,UG_capex,PV_FOM,Wind_FOM,EL_FOM
572.93,1042.35,255.00,0.75,9.51,13.99,8.93
572.93,1042.35,255.00,1.00,9.51,13.99,8.93
572.93,1042.35,255.00,1.25,9.51,13.99,8.93
572.93,1042.35,385.00,0.75,9.51,13.99,13.47
572.93,1042.35,385.00,1.00,9.51,13.99,13.47
572.93,1042.35,385.00,1.25,9.51,13.99,13.47
572.93,1042.35,515.00,0.75,9.51,13.99,18.02
572.93,1042.35,515.00,1.00,9.51,13.99,18.02
572.93,1042.35,515.00,1.25,9.51,13.99,18.02
572.93,1389.80,255.00,0.75,9.51,18.65,8.93
572.93,1389.80,255.00,1.00,9.51,18.65,8.93
572.93,1389.80,255.00,1.25,9.51,18.65,8.93
572.93,1389.80,385.00,0.75,9.51,18.65,13.47
572.93,1389.80,385.00,1.00,9.51,18.65,13.47
572.93,1389.80,385.00,1.25,9.51,18.65,13.47
572.93,1389.80,515.00,0.75,9.51,18.65,18.02
572.93,1389.80,515.00,1.00,9.51,18.65,18.02
572.93,1389.80,515.00,1.25,9.51,18.65,18.02
572.93,1737.25,255.00,0.75,9.51,23.31,8.93
572.93,1737.25,255.00,1.00,9.51,23.31,8.93
572.93,1737.25,255.00,1.25,9.51,23.31,8.93
572.93,1737.25,385.00,0.75,9.51,23.31,13.47
572.93,1737.25,385.00,1.00,9.51,23.31,13.47
572.93,1737.25,385.00,1.25,9.51,23.31,13.47
572.93,1737.25,515.00,0.75,9.51,23.31,18.02
572.93,1737.25,515.00,1.00,9.51,23.31,18.02
572.93,1737.25,515.00,1.25,9.51,23.31,18.02
696.02,1042.35,255.00,0.75,12.68,13.99,8.93
696.02,1042.35,255.00,1.00,12.68,13.99,8.93
696.02,1042.35,255.00,1.25,12.68,13.99,8.93
696.02,1042.35,385.00,0.75,12.68,13.99,13.47
696.02,1042.35,385.00,1.00,12.68,13.99,13.47
696.02,1042.35,385.00,1.25,12.68,13.99,13.47
696.02,1042.35,515.00,0.75,12.68,13.99,18.02
696.02,1042.35,515.00,1.00,12.68,13.99,18.02
696.02,1042.35,515.00,1.25,12.68,13.99,18.02
696.02,1389.80,255.00,0.75,12.68,18.65,8.93
696.02,1389.80,255.00,1.00,12.68,18.65,8.93
696.02,1389.80,255.00,1.25,12.68,18.65,8.93
696.02,1389.80,385.00,0.75,12.68,18.65,13.47
696.02,1389.80,385.00,1.00,12.68,18.65,13.47
696.02,1389.80,385.00,1.25,12.68,18.65,13.47
696.02,1389.80,515.00,0.75,12.68,18.65,18.02
696.02,1389.80,515.00,1.00,12.68,18.65,18.02
696.02,1389.80,515.00,1.25,12.68,18.65,18.02
696.02,1737.25,255.00,0.75,12.68,23.31,8.93
696.02,1737.25,255.00,1.00,12.68,23.31,8.93
696.02,1737.25,255.00,1.25,12.68,23.31,8.93
696.02,1737.25,385.00,0.75,12.68,23.31,13.47
696.02,1737.25,385.00,1.00,12.68,23.31,13.47
696.02,1737.25,385.00,1.25,12.68,23.31,13.47
696.02,1737.25,515.00,0.75,12.68,23.31,18.02
696.02,1737.25,515.00,1.00,12.68,23.31,18.02
696.02,1737.25,515.00,1.25,12.68,23.31,18.02
886.99,1042.35,255.00,0.75,15.85,13.99,8.93
886.99,1042.35,255.00,1.00,15.85,13.99,8.93
886.99,1042.35,255.00,1.25,15.85,13.99,8.93
886.99,1042.35,385.00,0.75,15.85,13.99,13.47
886.99,1042.35,385.00,1.00,15.85,13.99,13.47
886.99,1042.35,385.00,1.25,15.85,13.99,13.47
886.99,1042.35,515.00,0.75,15.85,13.99,18.02
886.99,1042.35,515.00,1.00,15.85,13.99,18.02
886.99,1042.35,515.00,1.25,15.85,13.99,18.02
886.99,1389.80,255.00,0.75,15.85,18.65,8.93
886.99,1389.80,255.00,1.00,15.85,18.65,8.93
886.99,1389.80,255.00,1.25,15.85,18.65,8.93
886.99,1389.80,385.00,0.75,15.85,18.65,13.47
886.99,1389.80,385.00,1.00,15.85,18.65,13.47
886.99,1389.80,385.00,1.25,15.85,18.65,13.47
886.99,1389.80,515.00,0.75,15.85,18.65,18.02
886.99,1389.80,515.00,1.00,15.85,18.65,18.02
886.99,1389.80,515.00,1.25,15.85,18.65,18.02
886.99,1737.25,255.00,0.75,15.85,23.31,8.93
886.99,1737.25,255.00,1.00,15.85,23.31,8.93
886.99,1737.25,255.00,1.25,15.85,23.31,8.93
886.99,1737.25,385.00,0.75,15.85,23.31,13.47
886.99,1737.25,385.00,1.00,15.85,23.31,13.47
886.99,1737.25,385.00,1.25,15.85,23.31,13.47
886.99,1737.25,515.00,0.75,15.85,23.31,18.02
886.99,1737.25,515.00,1.00,15.85,23.31,18.02
886.99,1737.25,515.00,1.25,15.85,23.31,18.02
